,kpca__kernel,kpca__n_components,kpca__gamma,kpca__degree,Accuracy,Fit_time
0,linear,4,,,0.8333333333333334,0.01441941261291504
1,linear,8,,,0.8366666666666667,0.008353567123413086
2,linear,10,,,0.8233333333333335,0.02133312225341797
3,linear,12,,,0.8133333333333332,0.026544761657714844
4,linear,14,,,0.8233333333333333,0.027713298797607422
5,rbf,4,0.03,,0.8400000000000001,0.022333669662475585
6,rbf,8,0.03,,0.8433333333333334,0.014829540252685547
7,rbf,10,0.03,,0.8300000000000001,0.02321934700012207
8,rbf,12,0.03,,0.8266666666666665,0.026591396331787108
9,rbf,14,0.03,,0.8333333333333334,0.018878078460693358
10,rbf,4,0.03222222222222222,,0.8433333333333334,0.014367914199829102
11,rbf,8,0.03222222222222222,,0.8433333333333334,0.013988018035888672
12,rbf,10,0.03222222222222222,,0.8233333333333333,0.014563989639282227
13,rbf,12,0.03222222222222222,,0.8266666666666665,0.027519750595092773
14,rbf,14,0.03222222222222222,,0.8299999999999998,0.023398923873901366
15,rbf,4,0.034444444444444444,,0.8433333333333334,0.012229156494140626
16,rbf,8,0.034444444444444444,,0.8433333333333334,0.013375329971313476
17,rbf,10,0.034444444444444444,,0.8233333333333333,0.014604139328002929
18,rbf,12,0.034444444444444444,,0.8300000000000001,0.021563053131103516
19,rbf,14,0.034444444444444444,,0.8299999999999998,0.032631731033325194
20,rbf,4,0.03666666666666667,,0.8400000000000001,0.018713903427124024
21,rbf,8,0.03666666666666667,,0.8400000000000001,0.015925836563110352
22,rbf,10,0.03666666666666667,,0.8266666666666665,0.01657547950744629
23,rbf,12,0.03666666666666667,,0.8300000000000001,0.014548873901367188
24,rbf,14,0.03666666666666667,,0.8266666666666665,0.021062755584716798
25,rbf,4,0.03888888888888889,,0.8333333333333334,0.012360668182373047
26,rbf,8,0.03888888888888889,,0.8400000000000001,0.013820028305053711
27,rbf,10,0.03888888888888889,,0.8266666666666665,0.017422914505004883
28,rbf,12,0.03888888888888889,,0.8300000000000001,0.017957162857055665
29,rbf,14,0.03888888888888889,,0.8266666666666665,0.018276739120483398
30,rbf,4,0.04111111111111111,,0.8333333333333334,0.02310342788696289
31,rbf,8,0.04111111111111111,,0.8366666666666667,0.012699270248413086
32,rbf,10,0.04111111111111111,,0.8266666666666665,0.026674890518188478
33,rbf,12,0.04111111111111111,,0.8300000000000001,0.014690780639648437
34,rbf,14,0.04111111111111111,,0.8266666666666665,0.018658208847045898
35,rbf,4,0.043333333333333335,,0.8366666666666667,0.018989086151123047
36,rbf,8,0.043333333333333335,,0.8333333333333333,0.013011312484741211
37,rbf,10,0.043333333333333335,,0.8266666666666665,0.01403040885925293
38,rbf,12,0.043333333333333335,,0.8300000000000001,0.021349000930786132
39,rbf,14,0.043333333333333335,,0.8266666666666665,0.018753719329833985
40,rbf,4,0.04555555555555556,,0.8366666666666667,0.02027883529663086
41,rbf,8,0.04555555555555556,,0.8333333333333333,0.014217662811279296
42,rbf,10,0.04555555555555556,,0.8299999999999998,0.020814228057861327
43,rbf,12,0.04555555555555556,,0.8300000000000001,0.03057384490966797
44,rbf,14,0.04555555555555556,,0.8299999999999998,0.01969609260559082
45,rbf,4,0.04777777777777778,,0.8333333333333334,0.013568925857543945
46,rbf,8,0.04777777777777778,,0.8400000000000001,0.016783618927001955
47,rbf,10,0.04777777777777778,,0.8333333333333333,0.013826751708984375
48,rbf,12,0.04777777777777778,,0.8300000000000001,0.015968132019042968
49,rbf,14,0.04777777777777778,,0.8333333333333334,0.02035946846008301
50,rbf,4,0.05,,0.8300000000000001,0.01791410446166992
51,rbf,8,0.05,,0.8366666666666667,0.01309814453125
52,rbf,10,0.05,,0.8333333333333333,0.02270784378051758
53,rbf,12,0.05,,0.8300000000000001,0.014888334274291991
54,rbf,14,0.05,,0.8299999999999998,0.0358161449432373
55,sigmoid,4,0.03,,0.8300000000000001,0.02348933219909668
56,sigmoid,8,0.03,,0.8433333333333334,0.013122797012329102
57,sigmoid,10,0.03,,0.8233333333333335,0.020962953567504883
58,sigmoid,12,0.03,,0.8133333333333332,0.023963212966918945
59,sigmoid,14,0.03,,0.8266666666666665,0.033139944076538086
60,sigmoid,4,0.03222222222222222,,0.8333333333333334,0.013220500946044923
61,sigmoid,8,0.03222222222222222,,0.8466666666666667,0.01654963493347168
62,sigmoid,10,0.03222222222222222,,0.8233333333333335,0.018390512466430663
63,sigmoid,12,0.03222222222222222,,0.8133333333333332,0.0215972900390625
64,sigmoid,14,0.03222222222222222,,0.8266666666666665,0.02821321487426758
65,sigmoid,4,0.034444444444444444,,0.8333333333333334,0.015480852127075196
66,sigmoid,8,0.034444444444444444,,0.8466666666666667,0.015324783325195313
67,sigmoid,10,0.034444444444444444,,0.8233333333333335,0.025144386291503906
68,sigmoid,12,0.034444444444444444,,0.8133333333333332,0.02465476989746094
69,sigmoid,14,0.034444444444444444,,0.8266666666666665,0.024197149276733398
70,sigmoid,4,0.03666666666666667,,0.8333333333333334,0.015385293960571289
71,sigmoid,8,0.03666666666666667,,0.8466666666666667,0.014076614379882812
72,sigmoid,10,0.03666666666666667,,0.8233333333333335,0.018148326873779298
73,sigmoid,12,0.03666666666666667,,0.8133333333333332,0.018450498580932617
74,sigmoid,14,0.03666666666666667,,0.8266666666666665,0.024881505966186525
75,sigmoid,4,0.03888888888888889,,0.8366666666666667,0.01725907325744629
76,sigmoid,8,0.03888888888888889,,0.8466666666666667,0.01613197326660156
77,sigmoid,10,0.03888888888888889,,0.8233333333333335,0.014857673645019531
78,sigmoid,12,0.03888888888888889,,0.8133333333333332,0.024305391311645507
79,sigmoid,14,0.03888888888888889,,0.8266666666666665,0.02570185661315918
80,sigmoid,4,0.04111111111111111,,0.8366666666666667,0.02285346984863281
81,sigmoid,8,0.04111111111111111,,0.8466666666666667,0.014201688766479491
82,sigmoid,10,0.04111111111111111,,0.8233333333333335,0.02648758888244629
83,sigmoid,12,0.04111111111111111,,0.8166666666666667,0.017508983612060547
84,sigmoid,14,0.04111111111111111,,0.8266666666666665,0.024345874786376953
85,sigmoid,4,0.043333333333333335,,0.8366666666666667,0.021157360076904295
86,sigmoid,8,0.043333333333333335,,0.8433333333333334,0.013865327835083008
87,sigmoid,10,0.043333333333333335,,0.8233333333333335,0.021231985092163085
