,kpca__kernel,kpca__n_components,kpca__gamma,kpca__degree,Accuracy,Fit_time
0,linear,300,,,0.891,42.66686201095581
1,linear,500,,,0.8801333333333333,44.69846153259277
2,linear,700,,,0.8824000000000001,47.152527252833046
3,rbf,300,0.03,,0.3320666666666667,44.26712989807129
4,rbf,500,0.03,,0.38186666666666663,46.137959003448486
5,rbf,700,0.03,,0.4298666666666667,48.78116496404012
6,rbf,300,0.03222222222222222,,0.30606666666666665,44.040363709131874
7,rbf,500,0.03222222222222222,,0.3316666666666667,46.72270838419596
8,rbf,700,0.03222222222222222,,0.3496666666666666,48.3698943456014
9,rbf,300,0.034444444444444444,,0.2852666666666667,44.26614157358805
10,rbf,500,0.034444444444444444,,0.30966666666666665,45.0691754023234
11,rbf,700,0.034444444444444444,,0.323,45.65338134765625
12,rbf,300,0.03666666666666667,,0.2654666666666667,41.567964951197304
13,rbf,500,0.03666666666666667,,0.29433333333333334,43.848604122797646
14,rbf,700,0.03666666666666667,,0.3058,45.59029380480448
15,rbf,300,0.03888888888888889,,0.24980000000000002,43.03850436210632
16,rbf,500,0.03888888888888889,,0.2843333333333333,43.64610195159912
17,rbf,700,0.03888888888888889,,0.2925333333333333,46.085721492767334
18,rbf,300,0.04111111111111111,,0.23353333333333334,41.606932957967125
19,rbf,500,0.04111111111111111,,0.26393333333333335,43.16043782234192
20,rbf,700,0.04111111111111111,,0.27953333333333336,45.26891986529032
21,rbf,300,0.043333333333333335,,0.22546666666666668,41.63143197695414
22,rbf,500,0.043333333333333335,,0.2428,43.11276904741923
23,rbf,700,0.043333333333333335,,0.26053333333333334,45.24694927533468
24,rbf,300,0.04555555555555556,,0.21993333333333334,41.61101722717285
25,rbf,500,0.04555555555555556,,0.2338,43.27776384353638
26,rbf,700,0.04555555555555556,,0.2444666666666667,45.15727702776591
27,rbf,300,0.04777777777777778,,0.21566666666666667,41.68476700782776
28,rbf,500,0.04777777777777778,,0.2278,43.16452153523763
29,rbf,700,0.04777777777777778,,0.2373333333333333,45.11339314778646
30,rbf,300,0.05,,0.2118,41.769869248072304
31,rbf,500,0.05,,0.22213333333333332,43.18801633516947
32,rbf,700,0.05,,0.2302,45.13908863067627
33,sigmoid,300,0.03,,0.9058666666666667,47.97033246358236
34,sigmoid,500,0.03,,0.9099333333333334,52.417795260747276
35,sigmoid,700,0.03,,0.9125333333333333,54.592291037241615
36,sigmoid,300,0.03222222222222222,,0.9053333333333332,47.911070585250854
37,sigmoid,500,0.03222222222222222,,0.9098,47.16580923398336
38,sigmoid,700,0.03222222222222222,,0.9119333333333334,51.444741328557335
39,sigmoid,300,0.034444444444444444,,0.9047999999999999,46.493732213974
40,sigmoid,500,0.034444444444444444,,0.9094666666666665,48.460718313852944
41,sigmoid,700,0.034444444444444444,,0.9109333333333334,54.11036078135172
42,sigmoid,300,0.03666666666666667,,0.9040666666666667,51.19785849253336
43,sigmoid,500,0.03666666666666667,,0.9089333333333333,52.128929138183594
44,sigmoid,700,0.03666666666666667,,0.9102666666666668,52.65703145662943
45,sigmoid,300,0.03888888888888889,,0.9034666666666666,47.95105759302775
46,sigmoid,500,0.03888888888888889,,0.9088666666666668,54.52943738301595
47,sigmoid,700,0.03888888888888889,,0.9104666666666666,54.127729415893555
48,sigmoid,300,0.04111111111111111,,0.9033333333333333,52.18177763621012
49,sigmoid,500,0.04111111111111111,,0.9087999999999999,61.81978646914164
50,sigmoid,700,0.04111111111111111,,0.9106,55.17119741439819
51,sigmoid,300,0.043333333333333335,,0.9036666666666666,52.4713040192922
52,sigmoid,500,0.043333333333333335,,0.9087999999999999,45.67765927314758
53,sigmoid,700,0.043333333333333335,,0.9102666666666667,49.41488838195801
54,sigmoid,300,0.04555555555555556,,0.9028,44.001946767171226
55,sigmoid,500,0.04555555555555556,,0.9085333333333333,45.71775333086649
56,sigmoid,700,0.04555555555555556,,0.9104666666666666,47.92574540774027
57,sigmoid,300,0.04777777777777778,,0.9018666666666667,44.259063959121704
58,sigmoid,500,0.04777777777777778,,0.9093333333333332,45.41326832771301
59,sigmoid,700,0.04777777777777778,,0.9102666666666667,55.00416612625122
60,sigmoid,300,0.05,,0.9019333333333334,54.26817433039347
61,sigmoid,500,0.05,,0.9089333333333333,50.200462102890015
62,sigmoid,700,0.05,,0.9093999999999999,52.238437255223594
63,poly,300,0.03,1.0,0.9116666666666666,47.80439615249634
64,poly,500,0.03,1.0,0.9095999999999999,51.38674354553223
65,poly,700,0.03,1.0,0.9087333333333333,49.51025835673014
66,poly,300,0.03222222222222222,1.0,0.9113333333333333,44.83578300476074
67,poly,500,0.03222222222222222,1.0,0.9098,48.751211404800415
68,poly,700,0.03222222222222222,1.0,0.9093333333333334,57.080453952153526
69,poly,300,0.034444444444444444,1.0,0.9109333333333334,48.83725253740946
70,poly,500,0.034444444444444444,1.0,0.9093333333333332,47.36724901199341
71,poly,700,0.034444444444444444,1.0,0.9094000000000001,48.007691383361816
72,poly,300,0.03666666666666667,1.0,0.9107333333333334,44.845132191975914
73,poly,500,0.03666666666666667,1.0,0.9090666666666666,52.00287636121114
74,poly,700,0.03666666666666667,1.0,0.9090666666666666,57.10707108179728
75,poly,300,0.03888888888888889,1.0,0.9109333333333334,52.675967375437416
76,poly,500,0.03888888888888889,1.0,0.9089333333333333,49.36238352457682
77,poly,700,0.03888888888888889,1.0,0.9088666666666666,51.711504777272545
78,poly,300,0.04111111111111111,1.0,0.9112,49.12653628985087
79,poly,500,0.04111111111111111,1.0,0.9087999999999999,60.11336374282837
80,poly,700,0.04111111111111111,1.0,0.9086,60.288318395614624
81,poly,300,0.043333333333333335,1.0,0.911,56.87476825714111
82,poly,500,0.043333333333333335,1.0,0.9084,48.46149547894796
83,poly,700,0.043333333333333335,1.0,0.9081333333333333,49.510965506235756
84,poly,300,0.04555555555555556,1.0,0.9106666666666667,49.03870026270548
85,poly,500,0.04555555555555556,1.0,0.908,45.799473444620766
86,poly,700,0.04555555555555556,1.0,0.9076666666666666,50.27514433860779
87,poly,300,0.04777777777777778,1.0,0.9103333333333333,43.59422127405802
88,poly,500,0.04777777777777778,1.0,0.9078666666666666,43.95649433135986
89,poly,700,0.04777777777777778,1.0,0.9070666666666667,46.22534418106079
90,poly,300,0.05,1.0,0.91,44.654868284861244
91,poly,500,0.05,1.0,0.9073333333333333,46.84872031211853
92,poly,700,0.05,1.0,0.9068,47.3252600034078
93,poly,300,0.03,2.0,0.9301333333333334,42.7799391746521
94,poly,500,0.03,2.0,0.9424666666666667,46.09977595011393
95,poly,700,0.03,2.0,0.9481333333333334,52.412026484807335
96,poly,300,0.03222222222222222,2.0,0.9287333333333333,46.97011319796244
97,poly,500,0.03222222222222222,2.0,0.9421333333333334,47.966614961624146
98,poly,700,0.03222222222222222,2.0,0.9481999999999999,53.685011784235634
99,poly,300,0.034444444444444444,2.0,0.9280666666666667,46.53697117169698
100,poly,500,0.034444444444444444,2.0,0.9418000000000001,49.81483109792074
101,poly,700,0.034444444444444444,2.0,0.9481333333333333,53.54690623283386
102,poly,300,0.03666666666666667,2.0,0.9274666666666667,40.9762970606486
103,poly,500,0.03666666666666667,2.0,0.9411333333333335,43.094818433125816
104,poly,700,0.03666666666666667,2.0,0.9476,47.552428245544434
105,poly,300,0.03888888888888889,2.0,0.9273333333333333,41.8221066792806
106,poly,500,0.03888888888888889,2.0,0.9408666666666666,43.00707991917928
107,poly,700,0.03888888888888889,2.0,0.9475333333333333,45.51847449938456
108,poly,300,0.04111111111111111,2.0,0.926,41.08714938163757
109,poly,500,0.04111111111111111,2.0,0.9403333333333332,43.013429721196495
110,poly,700,0.04111111111111111,2.0,0.9474,45.44519782066345
111,poly,300,0.043333333333333335,2.0,0.9262,40.73047057787577
112,poly,500,0.043333333333333335,2.0,0.9405333333333333,44.272247076034546
113,poly,700,0.043333333333333335,2.0,0.9476,46.019107023874916
114,poly,300,0.04555555555555556,2.0,0.9256666666666665,40.93534676233927
115,poly,500,0.04555555555555556,2.0,0.9406666666666667,43.202208518981934
116,poly,700,0.04555555555555556,2.0,0.9470666666666667,45.69093084335327
117,poly,300,0.04777777777777778,2.0,0.9249999999999999,40.73539249102274
118,poly,500,0.04777777777777778,2.0,0.9395333333333333,43.05091953277588
119,poly,700,0.04777777777777778,2.0,0.9470666666666667,46.01311500867208
120,poly,300,0.05,2.0,0.9246666666666666,40.93903009096781
121,poly,500,0.05,2.0,0.9400666666666666,43.37427028020223
122,poly,700,0.05,2.0,0.9470000000000001,46.16082262992859
123,poly,300,0.03,3.0,0.7968000000000001,43.759846131006874
124,poly,500,0.03,3.0,0.8842,45.27767817179362
125,poly,700,0.03,3.0,0.9160666666666667,48.70901266733805
126,poly,300,0.03222222222222222,3.0,0.7848666666666667,44.1311985651652
127,poly,500,0.03222222222222222,3.0,0.8922,44.96700437863668
128,poly,700,0.03222222222222222,3.0,0.9142,47.4105331103007
129,poly,300,0.034444444444444444,3.0,0.7881999999999999,43.89517784118652
130,poly,500,0.034444444444444444,3.0,0.8908666666666667,45.09662143389384
131,poly,700,0.034444444444444444,3.0,0.9106,48.66034770011902
132,poly,300,0.03666666666666667,3.0,0.7978,43.60938215255737
133,poly,500,0.03666666666666667,3.0,0.8945333333333334,44.903610706329346
134,poly,700,0.03666666666666667,3.0,0.9141333333333334,46.9775382677714
135,poly,300,0.03888888888888889,3.0,0.7963333333333334,43.6554179986318
136,poly,500,0.03888888888888889,3.0,0.8941333333333333,44.45453357696533
137,poly,700,0.03888888888888889,3.0,0.9126,47.19644419352213
138,poly,300,0.04111111111111111,3.0,0.7954666666666667,43.92879072825114
139,poly,500,0.04111111111111111,3.0,0.8939333333333334,44.49022102355957
140,poly,700,0.04111111111111111,3.0,0.9108,47.58778476715088
141,poly,300,0.043333333333333335,3.0,0.8094,43.22082551320394
142,poly,500,0.043333333333333335,3.0,0.8916666666666666,45.8418964544932
143,poly,700,0.043333333333333335,3.0,0.9118666666666666,47.71968992551168
144,poly,300,0.04555555555555556,3.0,0.7956,44.31446083386739
145,poly,500,0.04555555555555556,3.0,0.8922,44.64661033948263
146,poly,700,0.04555555555555556,3.0,0.9121333333333332,47.07177289326986
147,poly,300,0.04777777777777778,3.0,0.7959333333333335,43.8532517751058
148,poly,500,0.04777777777777778,3.0,0.8945333333333334,44.30737455685934
149,poly,700,0.04777777777777778,3.0,0.9110666666666667,47.157745361328125
150,poly,300,0.05,3.0,0.8014666666666667,43.28925482432047
151,poly,500,0.05,3.0,0.8908666666666667,44.8359960714976
152,poly,700,0.05,3.0,0.9106666666666667,46.88235203425089
153,poly,300,0.03,4.0,0.331,43.736278692881264
154,poly,500,0.03,4.0,0.4533333333333333,46.38944562276205
155,poly,700,0.03,4.0,0.5152666666666667,51.40420444806417
156,poly,300,0.03222222222222222,4.0,0.3348,44.17074720064799
157,poly,500,0.03222222222222222,4.0,0.4559333333333333,46.596071004867554
158,poly,700,0.03222222222222222,4.0,0.5156666666666667,49.27495765686035
159,poly,300,0.034444444444444444,4.0,0.3448,44.10306294759115
160,poly,500,0.034444444444444444,4.0,0.48419999999999996,47.22652324040731
161,poly,700,0.034444444444444444,4.0,0.5244,49.441306352615356
